0.000000000000000000e+00,1.100000000000000000e+01
1.000000000000000021e-02,1.100000000000000000e+01
2.000000000000000042e-02,1.100000000000000000e+01
2.999999999999999889e-02,1.100000000000000000e+01
4.000000000000000083e-02,1.100000000000000000e+01
5.000000000000000278e-02,1.100000000000000000e+01
5.999999999999999778e-02,1.166666666666666607e+01
7.000000000000000666e-02,1.366666666666666607e+01
8.000000000000000167e-02,1.300000000000000000e+01
8.999999999999999667e-02,2.033333333333333215e+01
1.000000000000000056e-01,1.966666666666666785e+01
1.100000000000000006e-01,3.033333333333333215e+01
1.199999999999999956e-01,4.233333333333333570e+01
1.300000000000000044e-01,5.233333333333333570e+01
